,Customer_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
9875,1001502,M,18-25,4,C,3,0
9887,1001503,M,26-35,12,A,2,0
9891,1001504,M,18-25,19,A,3,0
9895,1001505,M,51-55,11,C,3,1
9910,1001506,M,26-35,7,C,4,1
9912,1001507,M,36-45,17,C,0,0
9916,1001509,M,0-17,0,B,3,0
9926,1001510,F,26-35,1,A,1,0
9927,1001511,M,36-45,12,C,4,1
9929,1001512,M,26-35,20,C,4,0
9930,1001513,F,36-45,16,C,4,1
9934,1001514,M,18-25,4,B,4,1
9943,1001515,M,26-35,16,C,3,1
9944,1001516,F,26-35,12,B,1,0
9956,1001517,M,18-25,0,B,4,1
9959,1001519,M,18-25,4,C,1,0
9965,1001520,M,26-35,17,B,1,0
9966,1001521,F,26-35,7,C,2,1
9967,1001523,M,26-35,17,C,0,0
9972,1001524,M,18-25,4,B,1,0
9981,1001525,F,26-35,16,B,3,1
9986,1001526,M,55+,17,C,4,1
9988,1001527,M,18-25,10,C,1,1
9993,1001528,M,26-35,15,C,1,0
9994,1001530,M,26-35,4,A,1,1
10014,1001532,M,18-25,14,C,3,0
10016,1001533,M,46-50,1,C,0,1
10019,1001535,F,18-25,20,C,3,0
10020,1001536,F,36-45,3,C,3,0
10022,1001538,M,26-35,3,C,2,0
10024,1001540,M,46-50,0,A,4,1
10030,1001541,M,55+,17,C,3,1
10032,1001542,M,18-25,17,C,4,0
10053,1001543,M,26-35,11,C,2,0
10057,1001544,M,26-35,12,B,2,0
10065,1001545,M,26-35,20,A,1,0
10073,1001546,M,26-35,4,A,4,1
10081,1001547,M,55+,13,A,4,1
10090,1001548,M,36-45,1,A,3,0
10092,1001550,M,18-25,4,C,1,0
10095,1001551,M,26-35,11,B,1,1
10102,1001552,M,46-50,20,B,1,1
10109,1001553,F,26-35,15,C,0,0
10111,1001554,F,36-45,12,C,3,1
10112,1001555,F,18-25,0,B,0,1
10116,1001556,M,18-25,4,A,3,1
10132,1001557,F,18-25,4,C,1,0
10133,1001560,F,26-35,3,B,2,0
10136,1001561,F,18-25,4,C,2,0
10146,1001562,M,18-25,20,C,1,1
10147,1001563,F,0-17,10,B,0,0
10150,1001564,M,51-55,1,C,1,1
10153,1001565,M,46-50,17,B,1,1
10154,1001567,M,26-35,12,B,1,0
10158,1001569,F,55+,13,C,1,1
10161,1001570,M,18-25,17,B,1,1
10163,1001571,M,26-35,20,B,1,1
10169,1001572,F,26-35,3,C,3,1
10173,1001574,M,26-35,6,C,1,1
10174,1001575,F,51-55,7,C,4,1
10175,1001576,F,46-50,9,B,3,1
10177,1001577,M,55+,0,C,1,1
10184,1001578,M,18-25,4,B,1,1
10185,1001579,M,26-35,0,A,0,0
10228,1001581,F,18-25,4,B,4,1
10229,1001582,M,18-25,0,C,1,0
10230,1001583,M,36-45,6,B,0,0
10231,1001584,M,26-35,19,B,4,0
10246,1001585,M,55+,20,C,1,1
10250,1001586,M,46-50,7,B,2,1
10265,1001587,F,26-35,3,B,3,0
10288,1001588,M,26-35,11,B,1,0
10289,1001589,M,26-35,0,B,1,0
10292,1001590,M,36-45,1,C,0,0
10294,1001591,M,51-55,7,C,1,1
10308,1001592,M,36-45,7,B,4,1
10326,1001593,M,26-35,16,C,1,1
10333,1001594,F,36-45,20,B,1,0
10337,1001595,M,36-45,1,C,3,0
10343,1001597,M,26-35,12,B,1,1
10348,1001598,M,36-45,13,C,0,0
10358,1001599,M,26-35,0,A,1,0
10381,1001600,M,36-45,7,B,1,1
10397,1001601,M,26-35,12,C,2,0
10401,1001602,F,26-35,7,C,2,1
10405,1001603,F,26-35,0,C,4,1
10411,1001605,F,18-25,0,B,1,0
10442,1001606,F,36-45,3,A,4,0
10445,1001607,M,46-50,1,A,2,1
10458,1001608,M,26-35,11,B,1,1
10462,1001609,F,36-45,9,B,3,0
10471,1001610,M,26-35,11,B,1,1
10472,1001611,M,26-35,0,B,1,0
10494,1001612,M,26-35,17,C,1,0
10495,1001613,M,18-25,20,A,1,0
10526,1001614,M,36-45,0,B,1,1
10527,1001616,M,26-35,0,C,0,1
10541,1001617,M,26-35,12,C,3,0
10550,1001618,M,51-55,0,C,4,1
10552,1001619,M,51-55,3,C,1,1
10553,1001620,M,26-35,20,B,1,0
10555,1001622,M,18-25,4,B,0,0
10557,1001623,M,51-55,15,C,2,0
10561,1001624,M,26-35,0,B,1,1
10574,1001625,M,46-50,0,C,0,1
10576,1001626,M,18-25,4,B,0,1
10590,1001627,M,18-25,17,A,3,1
10591,1001628,M,18-25,20,B,1,0
10604,1001629,M,18-25,4,B,1,1
10605,1001630,M,46-50,17,C,1,0
10613,1001631,F,51-55,0,C,4,0
10620,1001632,M,26-35,16,B,1,0
10648,1001634,F,55+,0,C,4,0
10650,1001635,M,26-35,0,B,1,0
10688,1001636,F,26-35,19,C,0,0
10694,1001637,M,55+,0,B,2,1
10698,1001639,M,26-35,17,B,1,0
10728,1001640,M,36-45,17,C,1,0
10734,1001641,M,26-35,0,C,4,0
10736,1001642,M,51-55,13,C,1,0
10738,1001643,M,46-50,2,C,4,0
10745,1001644,M,18-25,12,A,2,0
10747,1001645,F,18-25,9,B,1,1
10775,1001646,M,26-35,20,B,1,1
10776,1001647,M,18-25,18,B,0,0
10813,1001648,M,51-55,14,B,3,1
10818,1001649,M,18-25,19,C,2,1
10820,1001650,M,26-35,19,C,1,0
10831,1001651,M,26-35,12,C,1,0
10833,1001654,F,46-50,0,A,0,1
10835,1001655,M,18-25,4,C,2,1
10843,1001656,M,26-35,17,B,3,0
10846,1001657,F,46-50,0,B,1,1
10848,1001658,F,36-45,6,B,2,0
10865,1001659,F,18-25,9,C,4,1
10866,1001660,F,26-35,2,C,2,1
10867,1001663,M,18-25,4,C,2,1
10868,1001665,M,46-50,17,B,2,0
10874,1001666,M,26-35,14,B,3,0
10894,1001667,M,51-55,16,B,4,0
10929,1001668,M,36-45,2,C,2,1
10932,1001669,F,26-35,17,B,1,1
10936,1001670,F,55+,13,C,1,1
10942,1001671,M,36-45,0,B,2,0
10964,1001672,M,26-35,17,C,1,0
10965,1001673,M,0-17,10,C,1,0
10967,1001675,F,26-35,6,B,1,1
10995,1001676,M,18-25,4,B,4,0
11040,1001677,M,18-25,14,C,2,0
11041,1001678,F,18-25,17,C,1,0
11047,1001679,M,26-35,12,B,4,1
11055,1001680,M,26-35,20,A,3,1
11143,1001681,M,18-25,4,A,1,0
11148,1001682,M,26-35,2,A,3,1
11149,1001683,F,26-35,7,C,3,0
11156,1001684,M,18-25,3,B,2,0
11160,1001685,M,36-45,12,B,1,0
11175,1001686,M,36-45,12,B,1,0
11176,1001687,M,26-35,3,A,1,0
11188,1001688,F,18-25,4,C,4,0
11194,1001691,F,26-35,17,C,2,1
11195,1001692,M,36-45,20,A,4,1
11204,1001693,M,26-35,12,C,1,1
11221,1001694,M,26-35,12,B,3,1
11237,1001695,M,26-35,1,C,1,1
11243,1001696,M,36-45,7,C,1,0
11253,1001697,F,18-25,4,B,3,0
11271,1001699,F,26-35,19,A,0,0
11284,1001700,M,26-35,20,B,4,0
11286,1001701,F,26-35,4,B,1,0
11298,1001702,M,18-25,10,C,2,0
11301,1001703,M,18-25,15,C,2,0
11302,1001704,M,26-35,4,C,4,0
11304,1001705,F,18-25,4,C,2,0
11307,1001706,M,26-35,20,B,1,1
11314,1001707,M,51-55,1,C,0,1
11316,1001709,M,26-35,0,C,1,1
11324,1001710,M,18-25,0,A,3,0
11328,1001711,F,18-25,4,C,3,0
11329,1001712,M,26-35,0,B,4,0
11347,1001713,M,26-35,0,C,3,0
11348,1001714,M,26-35,17,C,0,1
11357,1001715,M,26-35,16,C,2,1
11359,1001716,M,26-35,0,B,0,0
11366,1001717,F,51-55,6,B,1,0
11376,1001718,M,18-25,4,C,2,1
11377,1001719,M,18-25,16,C,2,1
11381,1001720,M,18-25,4,C,1,1
11382,1001721,M,18-25,19,C,3,0
11386,1001722,M,36-45,0,C,4,0
11395,1001723,M,36-45,17,C,0,1
11401,1001724,M,18-25,4,C,3,0
11408,1001726,M,26-35,2,B,1,1
11426,1001727,M,36-45,16,B,2,1
11447,1001728,M,18-25,4,C,2,0
11449,1001729,M,26-35,7,B,0,1
11450,1001731,F,18-25,0,C,2,0
11452,1001732,M,18-25,4,C,1,1
11453,1001733,M,18-25,14,B,0,1
11486,1001734,M,46-50,17,B,2,1
11488,1001735,M,18-25,20,B,1,1
11495,1001736,M,55+,8,C,2,1
11501,1001737,M,36-45,20,B,3,0
11532,1001738,M,36-45,16,C,0,0
11536,1001739,M,55+,16,C,1,1
11537,1001740,M,55+,1,C,2,0
11542,1001741,M,36-45,7,A,4,1
11572,1001742,M,26-35,15,C,4,1
11575,1001743,M,36-45,17,C,0,0
11579,1001744,M,36-45,12,C,2,0
11587,1001745,M,46-50,0,A,4,1
11591,1001746,M,26-35,4,C,1,1
11604,1001747,M,26-35,0,C,2,1
11607,1001748,M,51-55,1,A,1,1
11625,1001749,M,26-35,2,B,1,1
11646,1001750,M,51-55,5,B,0,0
11648,1001751,M,36-45,20,C,0,0
11649,1001752,M,26-35,3,B,1,0
11666,1001753,M,36-45,6,B,3,0
11683,1001754,M,18-25,19,C,3,0
11686,1001755,F,18-25,4,B,4,0
11702,1001756,F,26-35,1,B,2,1
11706,1001757,M,26-35,4,B,4,0
11723,1001758,F,26-35,0,B,1,0
11742,1001759,M,26-35,16,C,0,1
11751,1001760,F,26-35,3,C,1,1
11755,1001761,M,36-45,0,C,2,0
11760,1001762,M,26-35,14,B,2,1
11762,1001763,M,36-45,7,C,2,0
11763,1001764,M,18-25,0,B,1,0
11797,1001765,M,18-25,4,C,1,0
11801,1001766,F,46-50,0,C,0,1
11803,1001767,M,26-35,20,C,1,0
11819,1001768,M,46-50,16,C,1,1
11823,1001769,M,26-35,17,C,0,1
11825,1001770,M,36-45,16,C,1,0
11828,1001771,M,26-35,17,C,2,1
11829,1001774,M,26-35,17,C,4,0
11830,1001775,M,26-35,4,C,3,1
11834,1001776,M,26-35,0,B,4,1
11845,1001777,M,26-35,20,C,0,0
11848,1001778,M,18-25,4,B,1,0
11881,1001779,M,18-25,1,C,4,0
11883,1001780,M,36-45,1,B,0,0
11904,1001781,F,36-45,0,C,2,0
11907,1001782,M,46-50,0,C,1,1
11908,1001784,M,18-25,20,B,1,0
11909,1001785,M,18-25,4,B,2,0
11911,1001786,M,46-50,1,C,4,1
11912,1001787,M,18-25,8,A,4,0
11914,1001788,M,46-50,2,A,3,1
11916,1001789,M,0-17,10,C,2,0
11917,1001790,M,26-35,0,C,1,0
11935,1001791,M,18-25,4,C,1,1
11945,1001792,F,26-35,2,C,3,0
11946,1001793,M,26-35,4,B,1,0
11950,1001794,M,26-35,11,B,1,0
11969,1001795,M,18-25,17,C,1,0
11972,1001796,M,51-55,11,C,2,1
11979,1001797,M,36-45,7,C,2,0
11984,1001798,M,46-50,11,C,2,1
11988,1001799,M,36-45,11,B,4,1
11992,1001801,F,26-35,6,C,0,0
11995,1001802,M,18-25,4,A,3,0
12005,1001803,M,26-35,2,B,1,0
12013,1001804,M,26-35,7,C,4,1
12018,1001805,M,18-25,4,C,0,0
12024,1001806,M,18-25,4,B,1,0
12029,1001807,M,18-25,17,C,3,0
12035,1001808,F,18-25,4,C,4,1
12038,1001809,F,26-35,14,C,0,1
12042,1001810,M,51-55,13,A,1,1
12043,1001812,F,26-35,12,A,4,1
12076,1001813,F,36-45,6,C,3,0
12077,1001815,M,0-17,1,C,1,0
12079,1001816,F,36-45,9,C,4,0
12080,1001817,M,36-45,1,A,3,0
12085,1001818,M,0-17,8,C,4,0
12086,1001819,F,36-45,12,C,1,1
12090,1001820,M,26-35,20,B,1,1
12097,1001822,F,26-35,0,C,1,1
12100,1001823,F,36-45,1,C,1,0
12101,1001824,F,18-25,4,C,2,0
12105,1001825,M,26-35,7,C,4,1
12110,1001826,M,46-50,11,C,1,1
12112,1001827,F,26-35,1,C,3,0
12117,1001828,M,18-25,4,B,1,0
12124,1001830,M,18-25,4,C,2,0
12126,1001831,M,18-25,4,B,4,0
12136,1001832,F,18-25,4,C,3,0
12137,1001833,M,18-25,17,B,2,0
12141,1001834,M,36-45,5,C,4,0
12142,1001835,M,26-35,19,B,3,0
12169,1001836,M,26-35,0,A,4,0
12194,1001837,M,26-35,2,B,1,0
12216,1001838,M,36-45,7,A,3,0
12219,1001839,M,18-25,4,C,1,0
12220,1001841,M,18-25,0,C,2,0
12227,1001842,M,18-25,4,B,1,0
12248,1001843,M,26-35,12,A,2,0
12255,1001845,M,26-35,2,B,3,1
12267,1001847,M,18-25,4,C,2,0
12272,1001849,M,36-45,7,C,1,1
12273,1001850,M,18-25,5,C,0,1
12275,1001851,M,26-35,19,B,4,1
12291,1001852,M,26-35,12,B,1,0
12293,1001853,M,51-55,0,B,1,1
12298,1001854,M,26-35,0,C,2,0
12306,1001855,M,18-25,4,C,4,0
12309,1001856,M,55+,7,C,3,1
12311,1001858,F,18-25,4,B,0,0
12317,1001859,F,26-35,4,C,1,1
12319,1001860,M,55+,16,C,1,0
12327,1001861,M,51-55,16,A,1,1
12339,1001862,M,51-55,14,C,1,1
12342,1001863,M,18-25,4,B,4,0
12347,1001865,F,18-25,1,B,2,0
12364,1001866,M,26-35,7,A,4,1
12370,1001867,M,51-55,7,A,2,0
12371,1001868,M,51-55,11,C,0,1
12372,1001870,M,55+,13,C,1,0
12376,1001871,F,46-50,1,C,1,1
12380,1001873,M,36-45,7,B,2,0
12385,1001874,M,46-50,7,B,3,1
12388,1001875,M,36-45,12,A,2,0
12396,1001876,M,26-35,12,C,1,0
12398,1001877,F,46-50,20,B,2,1
12405,1001878,M,0-17,10,C,2,0
12409,1001879,M,26-35,4,C,1,1
12431,1001880,M,36-45,0,B,3,1
12466,1001882,M,36-45,16,C,4,0
12476,1001883,F,51-55,0,B,1,1
12497,1001884,M,46-50,20,B,1,1
12527,1001885,M,51-55,17,B,2,1
12530,1001886,M,26-35,12,C,3,0
12531,1001887,M,55+,15,C,3,1
12535,1001888,M,36-45,12,C,1,1
12536,1001889,M,18-25,14,B,2,0
12561,1001891,M,46-50,1,C,3,1
12571,1001892,M,26-35,20,C,2,0
12573,1001893,F,36-45,0,B,3,0
12574,1001894,F,36-45,7,B,0,1
12583,1001895,M,36-45,14,C,2,0
12588,1001896,M,55+,13,C,4,1
12599,1001897,F,51-55,2,A,1,1
12624,1001899,F,46-50,6,A,1,1
12650,1001901,M,51-55,7,C,3,1
12657,1001902,M,26-35,19,C,1,0
12664,1001903,M,36-45,0,B,1,0
12669,1001904,M,18-25,1,B,4,0
12679,1001905,F,36-45,20,A,1,0
12684,1001907,M,36-45,17,C,1,0
12685,1001908,M,55+,13,C,3,1
12693,1001909,M,18-25,4,C,2,1
12697,1001910,M,0-17,10,C,0,0
12699,1001911,F,18-25,4,C,0,0
12700,1001912,M,26-35,4,A,1,1
12739,1001914,F,36-45,14,B,2,0
12740,1001916,M,46-50,7,B,0,0
12750,1001917,M,18-25,10,B,1,0
12755,1001918,F,46-50,6,C,2,1
12756,1001920,F,36-45,7,B,1,0
12780,1001921,M,55+,12,C,2,0
12784,1001922,F,26-35,7,B,4,0
12801,1001923,M,36-45,7,C,2,0
12804,1001925,M,51-55,7,B,1,0
12811,1001926,F,0-17,0,B,1,0
12829,1001927,M,36-45,7,C,1,1
12830,1001928,M,0-17,10,B,1,0
12836,1001929,F,0-17,10,A,0,0
12838,1001930,M,26-35,15,A,4,0
12855,1001931,M,26-35,2,A,1,1
12859,1001932,M,26-35,7,A,4,0
12866,1001933,M,18-25,19,B,0,0
12869,1001934,M,26-35,17,B,4,0
12870,1001937,M,26-35,11,C,4,0
12884,1001938,F,26-35,2,C,1,1
12897,1001939,F,36-45,2,C,3,0
12908,1001940,M,26-35,12,C,2,0
12911,1001941,M,36-45,17,A,1,0
12981,1001942,M,36-45,5,B,1,1
12982,1001943,M,18-25,4,B,0,0
13006,1001944,F,18-25,4,C,1,0
13009,1001945,M,26-35,20,C,3,1
13013,1001946,M,26-35,14,A,1,1
13018,1001947,M,26-35,7,B,4,1
13023,1001948,M,0-17,10,B,3,0
13027,1001949,M,18-25,17,C,0,0
13034,1001950,M,26-35,12,C,1,0
13040,1001951,F,18-25,4,C,1,0
13046,1001952,M,36-45,1,B,1,1
13055,1001953,F,26-35,2,C,2,0
13056,1001954,M,26-35,16,C,1,0
13062,1001955,M,0-17,19,C,4,0
13063,1001956,M,36-45,0,C,1,1
13068,1001957,F,18-25,4,C,0,0
13070,1001958,F,26-35,1,B,3,0
13103,1001960,M,46-50,7,B,3,1
13108,1001961,F,51-55,3,C,2,1
13114,1001962,F,18-25,1,B,0,1
13132,1001963,F,51-55,9,C,4,1
13136,1001964,F,26-35,6,C,1,0
13137,1001965,M,55+,17,C,1,0
13138,1001966,M,26-35,20,C,2,0
13140,1001967,M,51-55,7,B,4,1
13141,1001968,M,26-35,11,B,2,0
13164,1001969,F,26-35,3,B,4,0
13182,1001970,M,51-55,13,C,1,0
13184,1001971,F,26-35,14,C,3,0
13186,1001972,M,46-50,17,C,0,1
13190,1001973,M,26-35,1,A,0,0
13191,1001974,M,36-45,17,B,1,0
13214,1001976,M,36-45,5,C,0,1
13215,1001977,M,55+,6,C,2,1
13219,1001978,M,0-17,10,C,4,0
13226,1001979,M,55+,17,B,4,0
13228,1001980,M,36-45,7,A,1,0
13286,1001981,M,55+,1,C,2,1
13290,1001982,M,0-17,10,C,4,0
13296,1001983,M,26-35,14,A,3,0
13314,1001984,M,18-25,10,B,2,1
13325,1001985,M,46-50,12,A,2,1
13328,1001986,M,51-55,13,C,1,1
13329,1001988,F,26-35,1,B,2,0
13355,1001989,M,51-55,6,C,1,0
13358,1001990,M,26-35,7,C,2,1
13360,1001992,M,18-25,4,C,3,0
13363,1001993,M,36-45,17,C,4,1
13364,1001994,M,36-45,2,C,0,0
13365,1001995,M,26-35,1,C,4,1
13368,1001996,M,36-45,0,C,3,0
13376,1001997,M,26-35,0,A,0,1
13377,1001998,F,51-55,9,B,2,1
13395,1001999,F,36-45,3,C,1,0
13397,1002000,M,18-25,4,C,1,0
13403,1002001,M,51-55,1,A,1,1
13404,1002002,F,55+,13,C,2,1
13411,1002003,M,0-17,10,C,1,0
13414,1002004,M,46-50,19,C,1,1
13420,1002005,M,18-25,4,C,3,0
13424,1002006,M,36-45,0,A,1,1
13426,1002007,M,51-55,16,C,4,1
13427,1002008,M,26-35,3,C,0,0
13435,1002009,F,36-45,7,C,3,0
13437,1002010,M,18-25,4,B,0,0
13481,1002011,F,36-45,3,B,3,1
13491,1002012,M,26-35,4,B,3,1
13511,1002013,M,46-50,0,C,1,1
13512,1002014,M,18-25,4,C,2,1
13514,1002015,M,18-25,4,B,4,0
13546,1002016,F,55+,2,C,2,1
13557,1002017,M,26-35,17,C,3,0
13560,1002018,M,36-45,16,B,1,0
13578,1002020,M,26-35,7,B,0,1
13592,1002021,M,26-35,0,C,1,0
13600,1002022,M,26-35,7,C,1,0
13604,1002023,M,18-25,4,B,2,1
13611,1002024,M,0-17,19,C,2,0
13619,1002025,M,55+,13,C,3,0
13620,1002026,M,51-55,16,C,1,1
13631,1002027,F,26-35,9,C,1,0
13637,1002028,M,46-50,6,C,3,1
13638,1002029,F,26-35,12,A,0,0
13643,1002030,M,26-35,4,B,1,0
13671,1002031,M,36-45,20,A,3,0
13677,1002032,M,51-55,14,C,4,1
13679,1002033,F,46-50,20,B,0,0
13680,1002034,F,46-50,2,C,4,1
13681,1002035,F,18-25,0,C,1,0
13689,1002036,F,26-35,14,B,1,0
13690,1002037,M,55+,14,C,3,0
13691,1002038,F,46-50,1,B,3,1
13703,1002039,M,51-55,16,C,2,0
13706,1002041,F,26-35,20,B,4,0
13724,1002042,M,0-17,10,C,4,0
13729,1002043,M,26-35,14,C,1,1
13732,1002044,F,46-50,0,C,0,1
13733,1002046,M,36-45,1,C,2,0
13737,1002047,M,0-17,10,B,1,0
13751,1002048,M,51-55,6,B,2,0
13752,1002049,F,51-55,0,A,1,1
13753,1002050,F,36-45,3,C,2,0
13765,1002051,M,36-45,7,C,2,0
13780,1002052,M,0-17,10,C,0,0
13781,1002053,M,46-50,11,C,1,1
13783,1002054,M,26-35,12,C,4,0
13798,1002055,M,51-55,11,C,4,1
13806,1002056,M,26-35,4,B,2,0
13822,1002057,M,36-45,1,C,4,0
13823,1002058,F,55+,1,B,1,0
13826,1002059,M,36-45,0,B,3,0
13835,1002060,M,0-17,1,C,3,0
13848,1002062,M,18-25,4,C,2,0
13852,1002063,M,26-35,4,A,3,0
13892,1002064,M,36-45,1,C,1,0
13899,1002065,M,26-35,6,C,2,0
13901,1002066,F,26-35,6,B,2,1
13903,1002067,M,51-55,16,B,2,0
13913,1002068,F,36-45,12,C,2,0
13921,1002069,M,55+,15,C,4,1
13925,1002070,F,36-45,6,A,0,0
13927,1002071,M,46-50,7,C,1,1
13936,1002072,F,51-55,12,C,1,0
13942,1002073,F,18-25,4,B,4,0
13972,1002074,M,18-25,4,A,1,0
13974,1002075,F,26-35,4,A,1,0
13977,1002076,M,18-25,4,B,0,1
13979,1002078,M,18-25,4,C,1,0
13988,1002079,M,0-17,10,C,3,0
13996,1002081,M,18-25,17,C,1,0
13997,1002083,M,18-25,4,C,0,0
13999,1002084,M,18-25,4,C,2,0
14007,1002085,M,18-25,0,C,4,0
14016,1002086,M,36-45,14,C,3,0
14017,1002087,M,26-35,0,C,4,0
14021,1002088,M,51-55,7,A,1,1
14037,1002089,M,36-45,17,C,2,0
14040,1002090,M,36-45,17,C,2,0
14049,1002091,F,36-45,20,C,1,0
14060,1002092,M,55+,1,B,4,1
14091,1002093,M,18-25,0,C,1,1
14092,1002094,M,36-45,2,B,3,0
14097,1002095,M,55+,13,C,1,1
14099,1002096,F,26-35,17,C,1,1
14104,1002097,M,18-25,5,C,0,0
14112,1002098,M,36-45,20,A,0,1
14128,1002099,F,18-25,0,B,1,0
14130,1002100,F,26-35,0,C,4,0
14146,1002101,M,26-35,16,C,1,1
14154,1002102,M,26-35,11,B,3,0
14174,1002103,M,36-45,12,C,0,0
14182,1002104,M,46-50,15,C,2,1
14186,1002105,M,26-35,1,A,0,1
14216,1002106,F,18-25,20,A,3,1
14253,1002108,M,0-17,10,C,1,0
14255,1002109,M,26-35,16,B,2,0
14291,1002110,M,51-55,11,C,3,0
14297,1002111,M,55+,13,C,4,1
14298,1002112,F,46-50,12,C,3,0
14300,1002113,M,26-35,6,C,1,0
14303,1002114,M,18-25,18,C,0,0
14306,1002115,M,36-45,17,C,1,0
14308,1002116,M,18-25,4,B,4,1
14345,1002117,M,55+,13,B,3,0
14348,1002119,M,36-45,4,B,3,0
14355,1002121,M,55+,13,C,0,1
14364,1002122,M,36-45,12,C,4,1
14368,1002123,F,36-45,0,C,4,1
14370,1002124,M,26-35,0,B,1,1
14392,1002125,M,36-45,3,C,0,0
14400,1002126,M,55+,14,C,0,1
14407,1002127,M,18-25,4,C,0,1
14413,1002129,M,26-35,5,B,1,0
14420,1002130,M,46-50,0,C,2,1
14421,1002131,M,26-35,0,B,1,0
14433,1002132,M,55+,14,C,3,1
14436,1002134,M,18-25,10,B,4,0
14438,1002136,M,36-45,18,C,3,0
14445,1002137,F,0-17,10,C,1,0
14446,1002138,F,18-25,4,C,2,0
14447,1002139,F,51-55,3,B,1,1
14449,1002140,M,46-50,14,C,2,1
14460,1002141,F,51-55,16,C,0,1
14461,1002143,M,18-25,4,B,2,0
14464,1002144,M,18-25,0,C,1,1
14470,1002145,M,18-25,10,C,2,1
14479,1002146,M,18-25,2,C,3,1
14483,1002147,F,18-25,0,B,3,0
14487,1002148,F,18-25,0,B,0,1
14499,1002149,M,26-35,0,C,2,0
14500,1002150,F,18-25,4,C,4,0
14502,1002151,M,55+,13,C,2,1
14503,1002152,M,18-25,4,C,2,0
14504,1002153,M,18-25,16,B,3,0
14518,1002154,M,26-35,12,C,1,1
14520,1002155,F,0-17,10,C,1,0
14524,1002156,M,18-25,19,C,4,0
14533,1002157,F,18-25,3,C,0,0
14539,1002158,M,26-35,12,A,1,1
14546,1002159,F,51-55,14,A,3,1
14548,1002160,F,18-25,19,C,3,0
14549,1002161,F,36-45,2,C,2,1
14557,1002162,F,0-17,10,C,2,0
14568,1002163,M,18-25,0,C,0,1
14572,1002164,M,36-45,0,B,3,0
14582,1002165,M,26-35,7,C,4,1
14595,1002166,M,0-17,10,C,1,0
14607,1002167,F,26-35,6,B,0,1
14611,1002168,M,0-17,10,B,4,0
14622,1002169,M,0-17,0,C,3,0
14624,1002170,F,51-55,16,C,2,1
14628,1002171,M,36-45,0,A,3,0
14630,1002172,M,18-25,20,B,2,0
14656,1002173,M,51-55,13,C,1,0
14667,1002174,M,51-55,12,B,1,1
14673,1002175,M,26-35,4,C,2,0
14676,1002176,M,0-17,19,B,1,0
14680,1002177,F,36-45,20,C,3,1
14686,1002178,M,46-50,14,C,4,0
14692,1002179,F,26-35,0,C,1,1
14700,1002180,M,26-35,12,B,3,1
14718,1002181,M,26-35,0,B,4,1
14747,1002183,F,55+,1,C,2,0
14751,1002184,M,18-25,4,C,2,0
14755,1002185,M,46-50,17,C,2,1
14776,1002186,M,18-25,5,C,4,0
14783,1002187,M,46-50,16,C,1,1
14789,1002188,F,18-25,19,B,4,0
14807,1002189,M,0-17,10,A,1,0
14808,1002190,F,26-35,15,B,1,1
14816,1002192,F,26-35,0,B,2,0
14817,1002193,M,0-17,10,C,1,0
14818,1002194,M,26-35,17,C,3,0
14824,1002195,M,0-17,10,A,0,0
14832,1002196,M,26-35,12,C,1,1
14833,1002197,F,26-35,1,C,1,0
14836,1002198,F,36-45,9,C,1,0
14837,1002199,M,0-17,10,B,3,0
14843,1002200,M,36-45,1,C,3,0
14846,1002201,M,55+,20,C,3,1
14848,1002202,F,0-17,10,C,2,0
14850,1002203,M,46-50,12,B,4,1
14860,1002204,M,55+,3,B,4,1
14861,1002205,F,26-35,7,A,3,1
14878,1002206,M,46-50,7,B,1,1
14885,1002207,M,18-25,4,C,4,0
14886,1002208,M,26-35,0,C,1,0
14896,1002209,M,36-45,7,A,2,1
14897,1002210,M,46-50,17,C,0,0
14898,1002211,M,46-50,6,C,2,1
14912,1002212,M,18-25,4,A,2,1
14916,1002213,F,26-35,0,B,3,0
14918,1002214,F,26-35,1,C,4,1
14921,1002215,F,26-35,0,B,2,1
14930,1002216,F,26-35,20,C,0,0
14931,1002217,M,0-17,10,C,0,0
14932,1002218,M,36-45,17,C,2,1
14934,1002219,M,26-35,6,C,3,0
14941,1002220,F,51-55,3,C,2,0
14942,1002221,M,55+,17,B,0,1
14951,1002222,F,46-50,1,B,2,1
14960,1002223,M,26-35,2,B,0,1
14979,1002224,M,26-35,12,C,2,1
14980,1002225,M,26-35,5,B,1,1
14997,1002228,M,26-35,12,C,3,1
14999,1002230,F,46-50,1,B,4,1
15011,1002231,M,51-55,11,B,1,1
15029,1002232,M,26-35,14,B,1,1
15041,1002233,F,36-45,3,B,2,1
15050,1002234,M,55+,1,C,0,1
15051,1002235,M,0-17,10,C,2,0
15059,1002236,M,0-17,10,C,0,0
15060,1002237,F,36-45,6,B,1,0
15075,1002238,F,26-35,4,B,2,0
15079,1002239,M,18-25,10,A,0,0
15088,1002240,M,46-50,12,C,0,1
15095,1002241,M,46-50,5,B,1,0
15100,1002242,M,18-25,4,A,2,0
15119,1002243,M,46-50,2,C,1,1
15122,1002245,M,0-17,10,C,1,0
15126,1002247,M,46-50,2,B,2,1
15134,1002248,F,36-45,12,C,2,0
15140,1002249,M,26-35,5,C,3,0
15142,1002250,M,18-25,19,A,3,1
15146,1002251,M,36-45,14,A,3,0
15159,1002252,F,18-25,1,B,1,0
